Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A646449,Ruby,07/23/2015 06:31:00 PM,07/23/2015 06:31:00 PM,01/23/2012,Return to Owner,,Dog,Spayed Female,3 years,Catahoula/Labrador Retriever,Brown Brindle
A724228,,05/28/2016 04:40:00 PM,05/28/2016 04:40:00 PM,03/07/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A708122,,07/27/2015 02:21:00 PM,07/27/2015 02:21:00 PM,07/23/2005,Transfer,Partner,Dog,Neutered Male,10 years,Pug,Fawn/Black
A740957,Gio,12/27/2016 10:40:00 AM,12/27/2016 10:40:00 AM,12/26/2015,Return to Owner,,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Red/Tan
A693700,,12/13/2014 12:20:00 PM,12/13/2014 12:20:00 PM,12/13/2013,Euthanasia,Suffering,Other,Unknown,1 year,Squirrel Mix,Tan
A634994,Jolie,04/30/2017 03:50:00 PM,04/30/2017 03:50:00 PM,04/30/2004,Return to Owner,,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Brown Tabby/White
A692618,*Ella,12/08/2014 03:55:00 PM,12/08/2014 03:55:00 PM,11/23/2011,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
A710320,Yoshi,09/01/2015 04:36:00 PM,09/01/2015 04:36:00 PM,01/21/2010,Return to Owner,,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White
A698683,Toby,03/21/2015 11:45:00 AM,03/21/2015 11:45:00 AM,03/16/2011,Return to Owner,,Dog,Neutered Male,4 years,Chihuahua Longhair Mix,Cream
A695532,Charlie,01/17/2015 05:22:00 PM,01/17/2015 05:22:00 PM,01/17/2013,Return to Owner,,Dog,Neutered Male,2 years,Treeing Walker Coonhound Mix,White/Brown
A735677,,09/28/2016 01:49:00 PM,09/28/2016 01:49:00 PM,09/06/2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A685067,Lucy,08/14/2014 06:45:00 PM,08/14/2014 06:45:00 PM,06/16/2014,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
A678580,*Frida,06/29/2014 05:45:00 PM,06/29/2014 05:45:00 PM,03/26/2014,Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Black
A675405,Stella Luna,03/28/2014 02:55:00 PM,03/28/2014 02:55:00 PM,03/27/2013,Return to Owner,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Black/White
A757005,*Sandi,10/07/2017 01:15:00 PM,10/07/2017 01:15:00 PM,07/28/2017,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White
A752941,,07/04/2017 04:16:00 PM,07/04/2017 04:16:00 PM,06/15/2017,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/Black
A700969,,04/22/2015 08:39:00 AM,04/22/2015 08:39:00 AM,10/21/2014,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat,Brown
A673652,Fancy,03/28/2014 02:39:00 PM,03/28/2014 02:39:00 PM,02/28/2012,Transfer,Partner,Dog,Neutered Male,2 years,Papillon/Border Collie,Black/White
A720498,*Valentino,02/16/2016 12:00:00 AM,02/16/2016 12:00:00 AM,02/10/2014,Transfer,Partner,Dog,Neutered Male,2 years,Pug/Border Terrier,Black/Tan
A753521,,07/11/2017 05:20:00 PM,07/11/2017 05:20:00 PM,07/07/2016,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A706392,*Ozzy,11/24/2015 11:58:00 AM,11/24/2015 11:58:00 AM,05/28/2015,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Blue Tabby/White
A747615,Luna,04/22/2017 06:23:00 PM,04/22/2017 06:23:00 PM,04/22/2016,Return to Owner,,Dog,Intact Female,1 year,Siberian Husky Mix,Black/White
A695221,Lucy,01/19/2015 12:08:00 PM,01/19/2015 12:08:00 PM,01/19/2004,Return to Owner,,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
A752325,,06/28/2017 02:32:00 PM,06/28/2017 02:32:00 PM,06/21/2017,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Blue
A700449,Nala,04/14/2015 11:27:00 AM,04/14/2015 11:27:00 AM,04/14/2010,Return to Owner,,Dog,Spayed Female,5 years,Cocker Spaniel Mix,Black/White
A750155,,05/28/2017 03:57:00 PM,05/28/2017 03:57:00 PM,03/23/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A677679,Kash,05/26/2014 07:10:00 PM,05/26/2014 07:10:00 PM,03/07/2014,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair/Pomeranian,Black
A747266,Finnegan,05/27/2017 04:30:00 PM,05/27/2017 04:30:00 PM,03/17/2017,Adoption,,Cat,Intact Male,2 months,Siamese Mix,Flame Point
A731736,Novah,03/02/2017 01:06:00 PM,03/02/2017 01:06:00 PM,07/26/2013,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,White
A708831,,11/11/2015 02:04:00 PM,11/11/2015 02:04:00 PM,07/30/2015,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
A640655,Sandy,04/25/2014 11:17:00 AM,04/25/2014 11:17:00 AM,04/27/2009,Return to Owner,,Dog,Spayed Female,4 years,Miniature Schnauzer/Miniature Poodle,White
A690350,Shy,10/26/2014 06:20:00 PM,10/26/2014 06:20:00 PM,10/18/2006,Return to Owner,,Dog,Neutered Male,8 years,Labrador Retriever Mix,Black
A745854,Preciosa,04/04/2017 05:07:00 PM,04/04/2017 05:07:00 PM,06/25/2016,Return to Owner,,Dog,Spayed Female,9 months,Chihuahua Shorthair Mix,Black/Tan
A680396,*Truman,06/15/2014 03:11:00 PM,06/15/2014 03:11:00 PM,06/02/2012,Transfer,Partner,Dog,Neutered Male,2 years,Rat Terrier Mix,White/Black
A698477,Spike,03/20/2015 06:11:00 PM,03/20/2015 06:11:00 PM,03/12/2013,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White
A674298,*Newt,04/16/2014 12:51:00 PM,04/16/2014 12:51:00 PM,03/11/2013,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A670420,,01/09/2014 07:29:00 PM,01/09/2014 07:29:00 PM,12/16/2013,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A705926,,06/23/2015 10:03:00 AM,06/23/2015 10:03:00 AM,05/22/2015,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Red
A740514,,12/22/2016 03:32:00 PM,12/22/2016 03:32:00 PM,12/18/2014,Transfer,Partner,Dog,Neutered Male,2 years,Norfolk Terrier Mix,Tan/Black
A692378,*Bonnie,12/21/2014 06:20:00 PM,12/21/2014 06:20:00 PM,10/19/2014,Adoption,Foster,Dog,Spayed Female,2 months,German Shepherd/Labrador Retriever,Black/White
A713715,Cheyenne,11/07/2015 02:20:00 PM,11/07/2015 02:20:00 PM,10/11/2006,Adoption,,Dog,Spayed Female,9 years,Dachshund Wirehair/Miniature Poodle,Blue/Tan
A714055,*Jorge Mcfly,11/22/2015 06:08:00 PM,11/22/2015 06:08:00 PM,10/17/2014,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A714040,*Martie,10/22/2015 06:24:00 PM,10/22/2015 06:24:00 PM,10/17/2013,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor
A741095,*Sassy,01/08/2017 06:44:00 PM,01/08/2017 06:44:00 PM,12/28/2013,Adoption,,Dog,Spayed Female,3 years,Cairn Terrier Mix,White/Brown
A744786,*Patrick,03/12/2017 07:27:00 PM,03/12/2017 07:27:00 PM,03/07/2007,Transfer,Partner,Dog,Neutered Male,10 years,Pomeranian Mix,Brown/Black
A736968,*Gretchen,04/18/2017 03:26:00 PM,04/18/2017 03:26:00 PM,10/20/2015,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A704744,,06/08/2015 06:20:00 PM,06/08/2015 06:20:00 PM,05/08/2015,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby
A735529,Luna,09/26/2016 06:34:00 PM,09/26/2016 06:34:00 PM,09/25/2013,Return to Owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Brown/White
A684460,Elsa,08/13/2014 03:04:00 PM,08/13/2014 03:04:00 PM,06/02/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A721371,Georgo,08/27/2016 06:32:00 PM,08/27/2016 06:32:00 PM,02/25/2012,Return to Owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate/Tan
A673952,,03/06/2014 02:29:00 PM,03/06/2014 02:29:00 PM,07/05/2013,Transfer,SCRP,Cat,Unknown,8 months,Domestic Shorthair Mix,Brown Tabby/White
A748002,*Merlin,08/17/2017 03:51:00 PM,08/17/2017 03:51:00 PM,04/27/2015,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A722553,,03/22/2016 03:58:00 PM,03/22/2016 03:58:00 PM,03/01/2016,Transfer,Partner,Dog,Intact Male,3 weeks,Labrador Retriever/Pit Bull,Black/White
A424158,Chucho,05/10/2017 05:03:00 PM,05/10/2017 05:03:00 PM,03/28/2005,Return to Owner,,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,Tan/White
A746964,,04/11/2017 06:59:00 PM,04/11/2017 06:59:00 PM,03/11/2017,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown/Black
A686497,Chester,08/31/2014 03:45:00 PM,08/31/2014 03:45:00 PM,03/22/2014,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black Tabby
A666660,Dolly,12/11/2014 05:52:00 PM,12/11/2014 05:52:00 PM,05/05/2012,Adoption,,Dog,Spayed Female,2 years,Beagle Mix,Tan/White
A687965,*Oliver,10/31/2014 06:29:00 PM,10/31/2014 06:29:00 PM,08/03/2014,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668547,*Preston,12/16/2013 01:59:00 PM,12/16/2013 01:59:00 PM,12/04/2012,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black/White
A701956,*Davis,05/07/2015 09:00:00 AM,05/07/2015 09:00:00 AM,09/06/2014,Transfer,SCRP,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby
A742133,Smooches,01/20/2017 06:01:00 PM,01/20/2017 06:01:00 PM,01/15/2016,Return to Owner,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A740708,,12/26/2016 02:43:00 PM,12/26/2016 02:43:00 PM,04/21/2016,Adoption,,Dog,Intact Male,8 months,German Shepherd/Great Pyrenees,Tan/White
A689952,Olive,10/19/2014 05:54:00 PM,10/19/2014 05:54:00 PM,10/11/2013,Adoption,,Dog,Spayed Female,1 year,Mastiff Mix,Brown Brindle
A724478,Shadow,05/04/2016 04:45:00 PM,05/04/2016 04:45:00 PM,04/18/2015,Adoption,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A737612,*Pippi,11/11/2016 04:58:00 PM,11/11/2016 04:58:00 PM,11/01/2013,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown/White
A724499,Max,04/30/2016 05:23:00 PM,04/30/2016 05:23:00 PM,04/18/2012,Adoption,,Dog,Neutered Male,4 years,German Shepherd Mix,Sable
A729193,*Bailey,06/19/2016 04:25:00 PM,06/19/2016 04:25:00 PM,01/31/2016,Adoption,,Dog,Spayed Female,4 months,Pit Bull/Labrador Retriever,White/Brown
A699029,Shadow,06/04/2015 11:17:00 AM,06/04/2015 11:17:00 AM,03/24/2012,Return to Owner,,Dog,Intact Female,3 years,German Shepherd,Black
A657388,Sargento,08/11/2015 02:11:00 PM,08/11/2015 02:11:00 PM,06/26/2008,Return to Owner,,Dog,Neutered Male,7 years,Rhod Ridgeback Mix,Red/White
A760131,,10/17/2017 11:56:00 AM,10/17/2017 11:56:00 AM,06/13/2017,Adoption,,Dog,Spayed Female,4 months,Catahoula Mix,Brown Brindle/White
A743610,,02/24/2017 06:13:00 PM,02/24/2017 06:13:00 PM,12/30/2016,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Schnauzer Mix,Black/White
A669621,,12/25/2013 09:47:00 AM,12/25/2013 09:47:00 AM,08/23/2013,Transfer,Partner,Dog,Intact Female,4 months,Plott Hound Mix,Brown Brindle/Black
A751451,*Ryker,10/15/2017 11:28:00 AM,10/15/2017 11:28:00 AM,06/08/2015,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A667311,Promise,11/19/2013 06:30:00 PM,11/19/2013 06:30:00 PM,09/01/2013,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Yellow
A620264,Rosco,10/29/2016 01:06:00 PM,10/29/2016 01:06:00 PM,02/16/2010,Return to Owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Red/White
A702239,*Ivy,05/23/2015 03:46:00 PM,05/23/2015 03:46:00 PM,09/11/2014,Adoption,,Dog,Spayed Female,8 months,Blue Lacy/Australian Kelpie,Blue
A715706,,11/08/2015 05:48:00 PM,11/08/2015 05:48:00 PM,10/01/2015,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
A690699,Minnie,11/04/2014 06:03:00 PM,11/04/2014 06:03:00 PM,06/17/2014,Transfer,Partner,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Blue/Tan
A744769,,03/07/2017 01:30:00 PM,03/07/2017 01:30:00 PM,02/26/2017,Euthanasia,,Other,Unknown,1 weeks,Opossum Mix,Pink
A682393,*Bumble,07/03/2014 12:12:00 PM,07/03/2014 12:12:00 PM,04/27/2014,Transfer,Partner,Cat,Intact Female,2 months,Siamese,Seal Point
A727644,,07/30/2016 06:09:00 PM,07/30/2016 06:09:00 PM,05/09/2016,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A696743,*Molly,02/15/2015 04:57:00 PM,02/15/2015 04:57:00 PM,02/11/2013,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier/Chihuahua Shorthair,White
A714258,,10/20/2015 05:13:00 PM,10/20/2015 05:13:00 PM,10/13/2015,Transfer,Partner,Cat,Unknown,1 week,Siamese Mix,Lilac Point
A688299,*Montgomery,01/19/2015 03:38:00 PM,01/19/2015 03:38:00 PM,11/17/2013,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A681039,,06/11/2014 05:11:00 PM,06/11/2014 05:11:00 PM,05/27/2014,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A682532,,07/03/2014 05:01:00 PM,07/03/2014 05:01:00 PM,04/14/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A669918,,01/03/2014 05:47:00 PM,01/03/2014 05:47:00 PM,09/30/2013,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Tan/White
A740022,*Lucy,12/18/2016 05:25:00 PM,12/18/2016 05:25:00 PM,07/10/2015,Adoption,,Dog,Spayed Female,1 year,Maltese Mix,White
A733435,,08/21/2016 04:42:00 PM,08/21/2016 04:42:00 PM,08/21/2013,Euthanasia,Rabies Risk,Other,Unknown,3 years,Bat Mix,Brown/Black
A733351,*Cinnamon,12/02/2016 01:57:00 PM,12/02/2016 01:57:00 PM,08/13/2016,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A703420,,05/27/2015 08:21:00 AM,05/27/2015 08:21:00 AM,04/24/2015,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black/White
A683779,,07/19/2014 05:36:00 PM,07/19/2014 05:36:00 PM,04/15/2014,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A696236,*Ollie,02/11/2015 05:16:00 PM,02/11/2015 05:16:00 PM,01/31/2013,Transfer,Partner,Dog,Intact Male,2 years,Australian Cattle Dog/Labrador Retriever,Black
A742265,,01/23/2017 11:06:00 AM,01/23/2017 11:06:00 AM,01/18/2015,Transfer,Partner,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black
A744847,,03/08/2017 04:54:00 PM,03/08/2017 04:54:00 PM,03/08/2016,Euthanasia,Suffering,Other,Unknown,1 year,Squirrel,Brown
A756678,,08/25/2017 08:36:00 AM,08/25/2017 08:36:00 AM,08/01/2017,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A721198,,02/27/2016 07:16:00 PM,02/27/2016 07:16:00 PM,02/23/2014,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
A519888,Luke,01/09/2015 12:10:00 PM,01/09/2015 12:10:00 PM,01/30/2008,Euthanasia,Aggressive,Dog,Neutered Male,6 years,Labrador Retriever/Beagle,Tan/Black
A695988,*Vinnie,05/05/2015 12:23:00 PM,05/05/2015 12:23:00 PM,01/27/2013,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
A678098,Shades,07/09/2014 11:54:00 AM,07/09/2014 11:54:00 AM,05/08/2002,Adoption,Foster,Dog,Neutered Male,12 years,Labrador Retriever Mix,Black/White
A686829,,08/27/2014 04:27:00 PM,08/27/2014 04:27:00 PM,08/05/2014,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A711942,,09/14/2015 05:16:00 PM,09/14/2015 05:16:00 PM,08/23/2015,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A730721,*Jasmine,08/17/2016 12:00:00 AM,08/17/2016 12:00:00 AM,07/09/2015,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby/White
A677038,*Penny,04/26/2014 01:00:00 PM,04/26/2014 01:00:00 PM,04/22/2012,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Buff
A726929,Lobo,06/23/2016 04:30:00 PM,06/23/2016 04:30:00 PM,05/16/2013,Adoption,,Dog,Neutered Male,3 years,Australian Shepherd Mix,Black/Tricolor
A711918,*Jaqueline,09/19/2015 02:33:00 PM,09/19/2015 02:33:00 PM,09/13/2012,Adoption,,Dog,Spayed Female,3 years,Staffordshire Mix,Red
A665344,Ginger,11/02/2013 05:47:00 PM,11/02/2013 05:47:00 PM,10/16/2009,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Red/White
A704743,,06/08/2015 03:40:00 PM,06/08/2015 03:40:00 PM,05/08/2015,Euthanasia,Suffering,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Gray Tabby
A617061,Pumpkin,09/04/2014 09:57:00 AM,09/04/2014 09:57:00 AM,08/02/2011,Died,In Kennel,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Orange Tabby
A675394,*Josh,04/03/2014 01:26:00 PM,04/03/2014 01:26:00 PM,09/27/2012,Transfer,Partner,Dog,Intact Male,1 year,Miniature Pinscher Mix,Black/White
A665590,*Marvin,09/10/2015 05:24:00 PM,09/10/2015 05:24:00 PM,08/20/2013,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A739729,Kitten,02/10/2017 12:51:00 PM,02/10/2017 12:51:00 PM,09/26/2016,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A718157,*Harlem,12/26/2015 06:45:00 PM,12/26/2015 06:45:00 PM,12/22/2013,Return to Owner,,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A721246,,02/27/2016 07:03:00 PM,02/27/2016 07:03:00 PM,09/25/2015,Adoption,,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Cream Tabby
A710753,,08/27/2015 05:24:00 PM,08/27/2015 05:24:00 PM,07/27/2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue
A695132,Willow,01/11/2015 02:21:00 PM,01/11/2015 02:21:00 PM,01/09/2013,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Longhair Mix,Black
A728927,Lana,09/24/2016 04:01:00 PM,09/24/2016 04:01:00 PM,12/11/2015,Transfer,Partner,Cat,Spayed Female,9 months,Domestic Shorthair Mix,White/Brown Tabby
A683068,,07/07/2014 08:40:00 AM,07/07/2014 08:40:00 AM,07/06/2013,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown
A718612,Alfie,01/09/2016 05:15:00 PM,01/09/2016 05:15:00 PM,01/03/2014,Adoption,,Dog,Neutered Male,2 years,Soft Coated Wheaten Terrier Mix,Cream/Gray
A758195,Miss Rose,09/22/2017 11:23:00 AM,09/22/2017 11:23:00 AM,01/12/2017,Return to Owner,,Cat,Intact Female,8 months,Domestic Shorthair Mix,Calico
A734876,*Lolly,09/19/2016 03:30:00 PM,09/19/2016 03:30:00 PM,07/01/2016,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Brown Brindle
A711963,Glenn,09/22/2015 01:47:00 PM,09/22/2015 01:47:00 PM,03/14/2015,Transfer,Partner,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Blue Tabby/White
A682085,Winnie,07/12/2014 03:00:00 PM,07/12/2014 03:00:00 PM,06/24/2010,Adoption,,Cat,Spayed Female,4 years,Russian Blue Mix,Blue
A673439,Aria,02/28/2014 10:47:00 AM,02/28/2014 10:47:00 AM,11/24/2013,Adoption,,Dog,Spayed Female,3 months,Cardigan Welsh Corgi/English Setter,White/Black
A692877,Snowflake,12/09/2014 03:18:00 PM,12/09/2014 03:18:00 PM,11/26/2012,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Cream Tabby/White
A683856,Smoke,08/12/2014 03:42:00 PM,08/12/2014 03:42:00 PM,07/16/2007,Adoption,Foster,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A647382,Oreo,10/13/2013 03:10:00 PM,10/13/2013 03:10:00 PM,08/09/2010,Adoption,,Dog,Spayed Female,3 years,Border Collie Mix,Black/White
A683517,*Dora,07/19/2014 01:08:00 PM,07/19/2014 01:08:00 PM,06/05/2014,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico
A722683,Loki,03/23/2016 03:10:00 PM,03/23/2016 03:10:00 PM,03/20/2006,Return to Owner,,Cat,Neutered Male,10 years,Domestic Longhair Mix,Brown Tabby
A660098,Delilah,10/14/2013 11:42:00 AM,10/14/2013 11:42:00 AM,08/03/2011,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Merle/White
A679304,Sheila,01/19/2015 06:38:00 PM,01/19/2015 06:38:00 PM,03/19/2014,Adoption,,Dog,Spayed Female,10 months,German Shepherd Mix,Brown/Black
A693005,Lex,12/01/2014 06:30:00 PM,12/01/2014 06:30:00 PM,11/29/2013,Return to Owner,,Dog,Neutered Male,1 year,Boxer Mix,Brown
A699391,Rocket,03/30/2015 05:00:00 PM,03/30/2015 05:00:00 PM,03/26/2013,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor
A688811,,09/25/2014 09:00:00 AM,09/25/2014 09:00:00 AM,09/24/2013,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Brown Tabby
A733266,,08/23/2016 06:12:00 PM,08/23/2016 06:12:00 PM,06/19/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A728715,,06/07/2016 06:48:00 PM,06/07/2016 06:48:00 PM,05/07/2016,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby/White
A680225,,06/01/2014 05:15:00 PM,06/01/2014 05:15:00 PM,05/31/2012,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A743033,Tucker,02/11/2017 01:53:00 PM,02/11/2017 01:53:00 PM,03/02/2016,Adoption,,Dog,Neutered Male,11 months,Labrador Retriever Mix,Brown/White
A662912,*Cosmo,10/20/2013 12:21:00 PM,10/20/2013 12:21:00 PM,08/10/2013,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Chocolate
