Library,Version,Licenses
Apache Hadoop Extras,2.10.1,APACHE20
Apache Hadoop Gridmix,2.10.1,APACHE20
Apache Hadoop HDFS Client,2.10.1,APACHE20
Apache Hadoop HDFS-NFS,2.10.1,APACHE20
Apache Hadoop HDFS-RBF,2.10.1,APACHE20
Apache Hadoop MapReduce Streaming,2.10.1,APACHE20
Apache Hadoop NFS,2.10.1,APACHE20
Apache Hadoop OpenStack support,2.10.1,APACHE20
Apache Hadoop Resource Estimator Service,2.10.1,APACHE20
Apache Hadoop Rumen,2.10.1,APACHE20
Apache Hadoop Scheduler Load Simulator,2.10.1,APACHE20
Apache Hadoop YARN API,2.10.1,APACHE20
Apache Hadoop YARN ApplicationHistoryService,2.10.1,APACHE20
Apache Hadoop YARN Common,2.10.1,APACHE20
Apache Hadoop YARN Registry,2.10.1,APACHE20
Apache Hadoop YARN ResourceManager,2.10.1,APACHE20
Apache Hadoop YARN Server Common,2.10.1,APACHE20
Apache Hadoop YARN Web Proxy,2.10.1,APACHE20
Apache HttpClient,4.5.13,APACHE20
Apache HttpClient,4.5.2,APACHE20
Apache HttpClient Cache,4.5.13,APACHE20
Apache HttpClient Mime,4.5.12,APACHE20
Apache HttpCore,4.4.13,APACHE20
Apache HttpCore,4.4.4,APACHE20
Apache HttpCore NIO,4.4.13,APACHE20
Apache Log4j 1.x Compatibility API,2.17.1,APACHE20
Apache Log4j API,2.17.1,APACHE20
Apache Log4j Commons Logging Bridge,2.17.1,APACHE20
Apache Log4j Core,2.17.1,APACHE20
Apache Thrift,0.9.2,APACHE20
Apache Yetus - Audience Annotations,0.5.0,APACHE20
Apache ZooKeeper - Jute,3.6.1,APACHE20
Apache ZooKeeper - Prometheus.io Metrics Provider,3.6.1,APACHE20
Apache ZooKeeper - Server,3.4.14,APACHE20
appdirs,1.4.3,MIT
asm,5.0.4,APACHE20,BSD3
ASM based accessors helper used by json-smart,1.2,APACHE20
ASM Core,3.2,BSD3
assert,1.4.1,MIT
async,1.5.2,MIT
async,2.6.1,MIT
asynckit,0.4.0,MIT
atomicwrites,1.3.0,MIT
attrs,19.3.0,MIT
AWS SDK for Java - Bundle,1.11.271,APACHE20
axios,0.21.4,MIT
axios-mock-adapter,1.20.0,MIT
Azure Data Lake Store - Java client SDK,2.2.3,MIT
Babel,2.8.0,BSD3
@babel/cli,7.4.4,MIT
babel-cli,6.26.0,MIT
babel-cli,6.24.1,MIT
@babel/core,7.4.4,MIT
babel-core,6.26.3,MIT
babel-eslint,10.0.1,MIT
babel-eslint,8.2.6,MIT
babelify,7.3.0,MIT
babel-plugin-external-helpers,6.22.0,MIT
babel-plugin-transform-es2015-arrow-functions,6.22.0,MIT
babel-plugin-transform-es2015-block-scoping,6.24.1,MIT
babel-plugin-transform-es2015-modules-commonjs,6.26.2,MIT
babel-plugin-transform-es2015-template-literals,6.22.0,MIT
babel-plugin-transform-object-rest-spread,6.26.0,MIT
@babel/preset-env,7.17.10,MIT
@babel/preset-env,7.4.4,MIT
babel-preset-latest,6.24.1,MIT
@babel/preset-typescript,7.16.7,MIT
balanced-match,1.0.0,MIT
benchmark,2.1.4,MIT
"Bouncy Castle PKIX, CMS, EAC, TSP, PKCS, OCSP, CMP, and CRMF APIs",1.6,BOUNCYCASTLE,MIT
Bouncy Castle Provider,1.6,BOUNCYCASTLE,MIT
brace-expansion,1.1.8,MIT
brfs,1.4.3,MIT
browserify,14.4.0,MIT
browserify,16.2.2,MIT
browserify,16.2.3,MIT
browserify,11.2.0,MIT
browserify,13.3.0,MIT
browserify-istanbul,2.0.0,MIT
browserify-wrap,1.0.2,ISC
browser-stdout,1.3.0,ISC
bundle-collapser,1.3.0,MIT
Byte Buddy agent,1.9.10,APACHE20
Byte Buddy (without dependencies),1.9.10,APACHE20
Cassandra,2.2.3,APACHE20
certifi,2020.4.5.1,MPL20
chai,3.5.0,MIT
chalk,2.4.2,MIT
chalk,1.1.3,MIT
chardet,3.0.4,LGPL30
codecov,1.0.1,MIT
codecov,3.0.4,MIT
commander,8.3.0,MIT
commander,2.9.0,MIT
commitizen,3.0.7,MIT
@commitlint/cli,8.0.0,MIT
@commitlint/config-conventional,8.0.0,MIT
Commons Digester,1.8,APACHE20
Commons Lang,2.6,APACHE20
Commons Math,2.1,APACHE20
Compress-LZF,0.8.4,APACHE20
concat-map,0.0.1,MIT
ConcurrentLinkedHashMap,1.4,APACHE20
connect,2.7.11,MIT
cosmiconfig,5.1.0,MIT
coverage,5.1,APACHE20
coveralls,1.5.0,MIT
coveralls,2.13.3,BSD2
cross-spawn,4.0.2,MIT
Curator Client,2.13.0,APACHE20
Curator Framework,2.13.0,APACHE20
Curator Recipes,2.13.0,APACHE20
Data Mapper for Jackson,1.9.2,APACHE20
Data Mapper for Jackson,1.9.13,APACHE20
debug,3.2.6,MIT
debug,2.6.0,MIT
delayed-stream,1.0.0,MIT
dev-env-installer,0.0.5,APACHE20
diff,3.2.0,BSD3
Disruptor Framework,3.0.1,APACHE20
distlib,0.3.0,--
docopt,0.6.2,MIT
docutils,0.16,--
Eclipse Compiler for Java(TM),3.26.0,EPL20
Eclipse ECJ,4.4.2,EPL10
Ehcache,3.3.1,APACHE20
@endemolshinegroup/cz-github,1.0.5,MIT
@endemolshinegroup/prettier-config,1.0.0,MIT
@endemolshinegroup/tslint-config,1.0.2,MIT
esbuild,0.14.38,MIT
escape-string-regexp,1.0.5,MIT
escodegen,1.9.1,BSD2
eslint,5.2.0,MIT
eslint,6.8.0,MIT
eslint,3.19.0,MIT
eslint,4.19.1,MIT
eslint,5.16.0,MIT
eslint,5.3.0,MIT
eslint-config-airbnb,18.2.1,MIT
eslint-config-env,5.0.0,MIT
eslint-config-hapi,12.0.0,MIT
eslint-config-prettier,4.2.0,MIT
eslint-config-prettier,6.15.0,MIT
eslint-config-prettier,3.6.0,MIT
eslint-config-sanity,0.140.0,MIT
eslint-import-resolver-typescript,2.7.1,ISC
eslint-plugin-ban,1.6.0,ISC
eslint-plugin-hapi,4.1.0,MIT
eslint-plugin-import,2.13.0,MIT
eslint-plugin-import,2.26.0,MIT
eslint-plugin-import,2.17.2,MIT
eslint-plugin-import-order-alphabetical,0.0.2,MIT
eslint-plugin-jest,21.18.0,MIT
eslint-plugin-jest,23.20.0,MIT
eslint-plugin-node,9.0.1,MIT
eslint-plugin-prettier,3.0.1,MIT
eslint-plugin-prettier,3.4.1,MIT
eslint-plugin-simple-import-sort,7.0.0,MIT
eslint-plugin-testing-library,4.12.4,MIT
espree,3.5.4,BSD2
esutils,2.0.2,BSD3
eventemitter2,5.0.1,MIT
event-stream,3.3.4,MIT
exec-glob,1.2.2,MIT
fake,0.2.2,--
far,0.0.7,MIT
filelock,3.0.12,UNLICENSE
FindBugs-jsr305,3.0.2,APACHE20
formidable,1.1.1,MIT
fs.realpath,1.0.0,ISC
fst,2.5,APACHE20
gatsby,2.18.18,MIT
gatsby-image,2.2.37,MIT
gatsby-plugin-catch-links,2.1.21,MIT
gatsby-plugin-ipfs,2.0.2,MIT
gatsby-plugin-manifest,2.2.34,MIT
gatsby-plugin-no-sourcemaps,2.1.1,MIT
gatsby-plugin-offline,3.0.30,MIT
gatsby-plugin-prefetch-google-fonts,1.4.3,MIT
gatsby-plugin-react-helmet,3.1.18,MIT
gatsby-plugin-root-import,2.0.5,MIT
gatsby-plugin-sharp,2.3.10,MIT
gatsby-plugin-styled-components,3.1.16,MIT
gatsby-remark-autolink-headers,2.1.22,MIT
gatsby-remark-prismjs,3.3.29,MIT
gatsby-source-filesystem,2.1.43,MIT
gatsby-transformer-remark,2.6.45,MIT
gh-pages,1.1.0,MIT
gh-pages,1.2.0,MIT
github-publish-release,4.0.0,MIT
git-last-commit,1.0.1,MIT
git-raw-commits,1.3.6,MIT
git-semver-tags,1.3.6,MIT
glob,7.1.2,ISC
glob,7.1.1,ISC
glob,7.2.0,ISC
Google Guice - Core Library,3,APACHE20
Google Guice - Extensions - Servlet,3,APACHE20
google-protobuf,3.5.0,BSD3
graceful-readlink,1.0.1,MIT
@graphql-codegen/cli,1.14.0,MIT
@graphql-codegen/introspection,1.14.0,MIT
@graphql-codegen/schema-ast,1.14.0,MIT
@graphql-codegen/typescript-graphql-files-modules,1.14.0,MIT
@graphql-codegen/typescript-operations,1.14.0,MIT
@graphql-codegen/typescript-react-apollo,1.14.0,MIT
graphql-config,4.3.0,MIT
@graphql-inspector/core,2.9.0,MIT
@graphql-tools/code-file-loader,6.3.1,MIT
@graphql-tools/load,6.2.8,MIT
@graphql-tools/load-files,6.5.3,MIT
@graphql-tools/url-loader,6.10.1,MIT
growl,1.9.2,MIT
Gson,2.2.4,APACHE20
Guava: Google Core Libraries for Java,11.0.2,APACHE20
Guava: Google Core Libraries for Java,18,APACHE20
Guava InternalFutureFailureAccess and InternalFutures,1.0.1,APACHE20
gulp,4.0.0,MIT
gulp-header,2.0.5,MIT
gulp-if,2.0.2,MIT
gulp-sourcemaps,2.6.4,ISC
gulp-uglify,3.0.0,MIT
Hamcrest All,1.3,BSD3
Hamcrest Core,1.3,BSD3
has-flag,1.0.0,MIT
high-scale-lib,1.0.6,MIT
HikariCP,2.4.12,APACHE20
html-loader-jest,0.2.1,ISC
htrace-core4,4.1.0-incubating,APACHE20
HttpClient,3.1,APACHE20
husky,2.2.0,MIT
husky,3.0.0,MIT
husky,0.14.3,MIT
idna,2.9,BSD3
if-ver,1.1.0,MIT
imagesize,1.2.0,MIT
importlib-metadata,1.6.0,--
importlib-resources,1.5.0,APACHE20
inflight,1.0.6,ISC
inherits,2.0.3,ISC
in-publish,2.0.0,ISC
is-node-modern,1.0.0,MIT
istanbul,0.4.5,BSD3
Jackson,1.9.13,APACHE20
Jackson,1.9.2,APACHE20
Jackson-annotations,2.13.2,APACHE20
Jackson-annotations,2.9.10,APACHE20
Jackson-annotations,2.13.1,APACHE20
Jackson-annotations,2.10.3,APACHE20
Jackson-core,2.13.1,APACHE20
Jackson-core,2.13.2,APACHE20
Jackson-core,2.10.3,APACHE20
Jackson-core,2.9.10,APACHE20
jackson-databind,2.10.3,APACHE20
jackson-databind,2.13.2,APACHE20
jackson-databind,2.13.1,APACHE20
jackson-databind,2.9.10.6,APACHE20
Jackson-dataformat-YAML,2.13.2,APACHE20
Jackson-dataformat-YAML,2.13.1,APACHE20
jasmine,3.99.0,MIT
Java Agent for Memory Measurements,0.3.0,APACHE20
JavaBeans(TM) Activation Framework,1.1,CDDL10,CECILL10
Java Native Access,4.2.2,APACHE20,LGPL21
JavaServer Pages(TM) API,2.1,APACHE20,CDDL11,GPL20
Java Servlet API,3.1.0,CDDL10,CECILL10
Java Servlet API,3.0.1,CDDL10,CECILL10
JavaServlet(TM) Specification,2.5,GPL20
Javassist,3.27.0-GA,APACHE20,LGPL21,MPL11
Javassist,3.25.0-GA,APACHE20,LGPL21,MPL11
java-util,1.9.0,APACHE20
javax.inject,1,APACHE20
java-xmlbuilder,0.4,APACHE20
jaxb-api,2.2.2,CDDL11,GPL20CE
JAX-RS provider for JSON content type,1.9.13,APACHE20,LGPL21
jBCrypt,0.3m,BSD3,ISC
JCIP Annotations under Apache License,1.0-1,APACHE20
JCL 1.2 implemented over SLF4J,1.7.7,MIT
JDOM,1.1,APACHE11
JeroMQ,0.3.5,LGPL30,LGPL30ONLY
jersey-client,1.9,CDDL11,GPL20CE
jersey-core,1.9,CDDL11,GPL20CE
jersey-guice,1.9,CCBY30,CDDL11,GPL20CE
jersey-json,1.9,CDDL11,GPL20CE
jersey-server,1.9,CDDL11,GPL20CE
jest,24.8.0,MIT
jest,23.4.2,MIT
jest,27.5.1,MIT
jest-css-modules,2.1.0,ISC
jest-extended,0.11.5,MIT
jest-extended,0.8.1,MIT
jest-fetch-mock,3.0.3,MIT
jest-junit,10.0.0,APACHE20
jest-raw-loader,1.0.1,MIT
jest-ts-auto-mock,1.0.12,ISC
JetS3t,0.9.0,APACHE20
Jettison,1.1,APACHE20
Jetty :: Http Utility,9.4.44.v20210927,APACHE20,EPL10,EPL20
Jetty :: IO Utility,9.4.44.v20210927,APACHE20,EPL10,EPL20
Jetty :: Security,9.4.44.v20210927,APACHE20,EPL10,EPL20
Jetty Server,6.1.26,APACHE20,EPL10
Jetty :: Server Core,9.4.44.v20210927,APACHE20,EPL10,EPL20
Jetty :: Servlet Handling,9.4.44.v20210927,APACHE20,EPL20
Jetty SSLEngine,6.1.26,APACHE20
Jetty Utilities,6.1.26,APACHE20,EPL10
Jetty :: Utilities,9.4.44.v20210927,APACHE20,EPL10,EPL20
Jetty :: Utilities :: Ajax(JSON),9.4.44.v20210927,APACHE20,EPL20
Jinja2,2.11.2,BSD3
JLine,2.11,BSD3
JLine,0.9.94,BSD3
JMockit,1.48,MIT
Joda-Time,2.4,APACHE20
joi,17.6.0,BSD3
JSch,0.1.55,BSD3
jsdoc,3.6.10,APACHE20
jsdoc,3.6.3,APACHE20
jsdoc,3.5.5,APACHE20
jsdom,19.0.0,MIT
json3,3.3.2,MIT
json-io,2.5.1,APACHE20
JSON.simple,1.1.1,APACHE20
JSON.simple,1.1,APACHE20
JSON Small and Fast Parser,1.3.1,APACHE20
JSON Small and Fast Parser,2.3,APACHE20
JSONStream,1.3.3,APACHE20,MIT
js-tokens,3.0.2,MIT
JUL to SLF4J bridge,1.7.21,MIT
JUL to SLF4J bridge,1.7.5,MIT
JUnit,4.12,EPL10
JUnit,4.11,CPAL10,CPL10
JVM Integration for Metrics,3.1.0,APACHE20
karma,1.7.0,MIT
karma,4.4.1,MIT
karma,2.0.5,MIT
karma-browserify,5.3.0,MIT
karma-chrome-launcher,2.1.1,MIT
karma-chrome-launcher,2.2.0,MIT
karma-cli,2.0.0,MIT
karma-firefox-launcher,1.0.1,MIT
karma-jasmine,2.0.1,MIT
karma-mocha,1.3.0,MIT
karma-mocha-own-reporter,1.1.2,MIT
karma-mocha-reporter,2.2.5,MIT
karma-phantomjs-launcher,1.0.4,MIT
karma-typescript,4.1.1,MIT
Kerb Simple Kdc,2.0.0,APACHE20
Kerby ASN1 Project,2.0.0,APACHE20
Kerby Config,2.0.0,APACHE20
Kerby-kerb Admin,2.0.0,APACHE20
Kerby-kerb Client,2.0.0,APACHE20
Kerby-kerb Common,2.0.0,APACHE20
Kerby-kerb core,2.0.0,APACHE20
Kerby-kerb Crypto,2.0.0,APACHE20
Kerby-kerb Identity,2.0.0,APACHE20
Kerby-kerb Server,2.0.0,APACHE20
Kerby-kerb Util,2.0.0,APACHE20
Kerby PKIX Project,2.0.0,APACHE20
Kerby Util,2.0.0,APACHE20
Kerby XDR Project,2.0.0,APACHE20
leaked-handles,5.2.0,MIT
leveldbjni-all,1.8,BSD3
lint-staged,8.1.6,MIT
lint-staged,9.2.0,MIT
lint-staged,7.2.0,MIT
lodash,4.17.21,APACHE20,MIT
lodash._baseassign,3.2.0,MIT
lodash._basecopy,3.0.1,MIT
lodash._basecreate,3.0.3,MIT
lodash.create,3.1.1,MIT
lodash.get,4.4.2,MIT
lodash._getnative,3.9.1,MIT
lodash.isarguments,3.1.0,MIT
lodash.isarray,3.0.4,MIT
lodash._isiterateecall,3.0.9,MIT
lodash.keys,3.1.2,MIT
Log4j Implemented Over SLF4J,1.7.7,APACHE20
Logback Classic Module,1.2.1,EPL10,LGPL21,LGPL30
Logback Classic Module,1.1.3,EPL10,LGPL21,LGPL30
Logback Core Module,1.2.1,EPL10,LGPL21ONLY
Logback Core Module,1.1.3,EPL10,LGPL21ONLY
loglevel,1.8.0,MIT
long,4.0.0,APACHE20
LZ4 and xxHash,1.3.0,APACHE20
make-error,1.3.5,ISC
MarkupSafe,1.1.1,BSD3
Metrics Core,3.2.5,APACHE20
Metrics Core,3.1.0,APACHE20
Metrics Core,3.0.1,APACHE20
Metrics Integration for Logback,3.1.0,APACHE20
metrics reporter config 3.x,3.0.0,APACHE20
metrics reporter config base,3.0.0,APACHE20
Microsoft Azure SDK for Key Vault Core,1.0.0,MIT
Microsoft Azure Storage Client SDK,7.0.1,APACHE20
Microsoft JDBC Driver for SQL Server,6.2.1.jre7,MIT
mime-types,2.1.17,MIT
minimatch,3.0.4,ISC
minimist,1.2.6,MIT
minimist,0.0.8,MIT
minimist,1.2.0,MIT
minipass,3.0.0,ISC
mkdirp,0.5.1,MIT
mocha,4.0.1,MIT
mocha,8.2.1,MIT
mocha,3.2.0,MIT
mocha,3.4.2,MIT
mocha,5.1.1,MIT
mocha,5.2.0,MIT
mocha,3.5.3,MIT
mocha-junit-reporter,1.18.0,MIT
mocha-qunit-ui,0.1.3,MIT
mocha-sugar-free,1.3.1,MIT
mock,2.0.0,--
Mockito,1.8.5,MIT
mockito-core,2.27.0,MIT
more-itertools,8.2.0,MIT
ms,0.7.2,MIT
Netty,3.7.0.Final,APACHE20
Netty,3.10.6.Final,APACHE20
Netty/All-in-One,4.1.50.Final,APACHE20
Netty/All-in-One,4.0.44.Final,APACHE20
Netty/Buffer,4.1.48.Final,APACHE20
Netty/Buffer,4.1.17.Final,APACHE20
Netty/Codec,4.1.17.Final,APACHE20
Netty/Codec,4.1.48.Final,APACHE20
Netty/Codec/HTTP,4.1.17.Final,APACHE20
Netty/Common,4.1.48.Final,APACHE20
Netty/Common,4.1.17.Final,APACHE20
Netty/Handler,4.1.17.Final,APACHE20
Netty/Handler,4.1.48.Final,APACHE20
Netty/Resolver,4.1.48.Final,APACHE20
Netty/Resolver,4.1.17.Final,APACHE20
Netty/Transport,4.1.17.Final,APACHE20
Netty/Transport,4.1.48.Final,APACHE20
Netty/Transport/Native/Epoll,4.1.48.Final,APACHE20
Netty/Transport/Native/Unix/Common,4.1.48.Final,APACHE20
Nimbus JOSE+JWT,4.41.2,APACHE20
Nimbus JOSE+JWT,7.9,APACHE20
node-fetch,2.6.0,MIT
node-int64,0.3.3,MIT
nodeunit,0.8.8,MIT
nyc,10.0.0,ISC
nyc,13.1.0,ISC
obake,0.1.2,MIT
Objenesis,2.6,APACHE20
OHC core,0.4.3,APACHE20
OHC core - Java8 optimization,0.4.3,APACHE20
ojAlgo,43,MIT
OkHttp,2.7.5,APACHE20
okio,1.6.0,APACHE20
Old JAXB Runtime,2.2.3-1,CDDL11,GPL20CE
once,1.4.0,ISC
OpenTelemetry Java,1.9.1,APACHE20
OpenTelemetry Java,1.9.1-alpha,APACHE20
OpenTelemetry Java,1.9.1,APACHE20
OpenTelemetry Java,1.9.1-alpha,APACHE20
OpenTelemetry Java,0.11.0,APACHE20
OpenTelemetry Java,1.9.1,APACHE20
packaging,20.3,--
pako,1.0.5,MIT,ZLIB
ParaNamer Core,2.3,BSD3
path-is-absolute,1.0.1,MIT
pathlib2,2.3.5,MIT
pbr,5.4.5,--
phantomjs-prebuilt,2.1.14,APACHE20
phantomjs-prebuilt,2.1.16,APACHE20
PicoContainer Core,2.15,BSD3
pkgfiles,2.3.2,MIT
pluggy,0.13.1,MIT
pre-commit,1.2.2,MIT
pre-commit,1.1.3,MIT
prettier,1.17.0,MIT
prettier,1.16.4,MIT
prettier,1.14.0,MIT
prettier,1.16.1,MIT
prismjs,1.18.0,MIT
process.argv,0.6.0,MIT
protobufjs,6.8.8,BSD3
@protobufjs/base64,1.1.2,BSD3
@protobufjs/codegen,2.0.4,BSD3
@protobufjs/eventemitter,1.1.0,BSD3
@protobufjs/fetch,1.1.0,BSD3
@protobufjs/float,1.0.2,BSD3
@protobufjs/path,1.1.2,BSD3
@protobufjs/pool,1.1.0,BSD3
@protobufjs/utf8,1.1.0,BSD3
Protocol Buffers [Core],2.5.0,BSD3
proxy-agent,3.0.3,MIT
pundle-dev,1.1.11,MIT
punycode,2.1.0,MIT
py,1.8.1,MIT
pyasn1,0.4.4,BSD3
Pygments,2.6.1,BSD3
pyparsing,2.4.7,MIT
pytest,3.8.0,MIT
pytest-cov,2.6.0,MIT
pytz,2019.3,MIT
q,1.0.1,MIT
raw-body,2.3.3,MIT
react-dom,16.12.0,MIT
react-helmet,5.2.1,MIT
rebass,4.0.7,MIT
reflect-metadata,0.1.12,APACHE20
request,2.76.0,APACHE20
request,2.87.0,APACHE20
requests,2.23.0,APACHE20
require-uncached,1.0.3,MIT
rimraf,2.6.1,ISC
rimraf,2.6.2,ISC
rimraf,2.6.3,ISC
rollup,1.1.2,MIT
rollup,0.41.6,MIT
rollup-plugin-babel,2.7.1,MIT
rollup-plugin-node-resolve,2.1.1,MIT
rollup-plugin-string,3.0.0,MIT
semantic-release,15.13.3,MIT
@semantic-release/changelog,3.0.2,MIT
@semantic-release/git,7.0.8,MIT
semver,5.7.1,ISC
sigar,1.6.4,--
simple-socks,0.3.0,MIT
sinon,2.0.0-pre.3,BSD3
sinon-chai,2.8.0,BSD2,WTFPL
six,1.14.0,MIT
SLF4J API Module,1.7.5,MIT
SLF4J API Module,1.7.7,MIT
SLF4J API Module,1.7.21,MIT
SLF4J API Module,1.6.6,MIT
SLF4J API Module,1.7.25,MIT
SLF4J API Module,1.6.1,MIT
SLF4J LOG4J-12 Binding relocated,1.6.1,MIT
SLF4J LOG4J-12 Binding relocated,1.7.25,MIT
SnakeYAML,1.11,APACHE20
SnakeYAML,1.3,APACHE20
snappy-java,1.0.5,APACHE20
snappy-java,1.1.7,APACHE20
snappy-java,1.1.1.7,APACHE20
snowballstemmer,2.0.0,BSD3
socks,2.3.2,MIT
socksv5,0.0.6,MIT
sorcery,0.10.0,MIT
Sphinx,1.8.0,BSD3
sphinxcontrib-websupport,1.2.1,BSD3
SpotBugs Annotations,3.1.9,LGPL21,LGPL21LATER
SpotBugs Annotations,4.0.2,LGPL21,LGPL21LATER
standard,10.0.2,MIT
standard,10.0.3,MIT
Stax2 API,3.1.4,BSD3
Streaming API for XML,1.0-2,CDDL10,CECILL10,LGPL30
stream-lib,2.5.2,APACHE20
StringTemplate 4,4.0.8,BSD3
styled-components,4.4.1,MIT
supports-color,3.1.2,MIT
symbol-observable,1.2.0,MIT
tap,13.1.2,ISC
tap,14.6.4,ISC
tap,14.10.2,ISC
tape,4.9.0,MIT
tape,4.10.2,MIT
tape,4.2.1,MIT
tape,4.8.0,MIT
tape,4.9.2,MIT
@tap-format/spec,0.2.0,MIT
@testing-library/dom,7.31.2,MIT
@testing-library/jest-dom,5.16.4,MIT
testling,1.7.1,MIT
Thrift Server implementation backed by LMAX Disruptor,0.3.7,APACHE20
tmp,0.0.33,MIT
Token provider,2.0.0,APACHE20
tomcat-annotations-api,9.0.58,APACHE20
tomcat-api,9.0.58,APACHE20
tomcat-catalina,9.0.58,APACHE20
tomcat-catalina-ant,9.0.58,APACHE20
tomcat-catalina-ha,9.0.58,APACHE20
tomcat-coyote,9.0.58,APACHE20
tomcat-dbcp,9.0.58,APACHE20
tomcat-el-api,9.0.58,APACHE20
tomcat-i18n-es,9.0.58,APACHE20
tomcat-i18n-fr,9.0.58,APACHE20
tomcat-i18n-ja,9.0.58,APACHE20
tomcat-i18n-ru,9.0.58,APACHE20
tomcat-jasper,9.0.58,APACHE20
tomcat-jasper-el,9.0.58,APACHE20
tomcat-jaspic-api,9.0.58,APACHE20
tomcat-jdbc,9.0.58,APACHE20
tomcat-jni,9.0.58,APACHE20
tomcat-jsp-api,9.0.58,APACHE20
tomcat-juli,9.0.58,APACHE20
tomcat-servlet-api,9.0.58,APACHE20,CDDL10
tomcat-storeconfig,9.0.58,APACHE20
tomcat-tribes,9.0.58,APACHE20
tomcat-util,9.0.58,APACHE20
tomcat-util-scan,9.0.58,APACHE20
tomcat-websocket,9.0.58,APACHE20
tomcat-websocket-api,9.0.58,APACHE20
toml,0.10.0,MIT
tox,3.3.0,MIT
tsickle,0.2.0,MIT
ts-jest,24.0.2,MIT
ts-jest,27.1.4,MIT
tslib,1.10.0,APACHE20
tslib,1.13.0,0BSD
tslint,5.10.0,APACHE20
tslint,4.0.2,APACHE20
tslint,5.13.1,APACHE20
tslint-config-prettier,1.18.0,MIT
tslint-eslint-rules,5.4.0,MIT
tslint-junit-formatter,5.1.0,MIT
ts-node,10.2.1,MIT
ts-node,8.3.0,MIT
typedoc,0.14.2,APACHE20
@types/angular-mocks,1.7.1,MIT
@types/cosmiconfig,5.0.3,MIT
typescript,3.9.10,APACHE20
typescript,2.4.1,APACHE20
typescript,3.1.3,APACHE20
typescript,2.8.3,APACHE20
typescript,2.8.1,APACHE20
typescript,2.1.4,APACHE20
typescript-pundle,1.0.1,MIT
typescript-transform-paths,3.3.1,MIT
@types/jasmine,3.10.3,MIT
@types/jasmine,3.10.6,MIT
@types/jest,24.0.15,MIT
@types/jest,27.5.0,MIT
@types/lodash,4.14.182,MIT
@types/lodash.get,4.4.6,MIT
@types/long,4.0.0,MIT
@types/mocha,2.2.41,MIT
@types/node,0.12.6,MIT
@types/node,8.10.50,MIT
@types/node,10.1.0,MIT
@types/node-fetch,2.5.4,MIT
@types/resolve,1.20.2,MIT
uglify-js,2.5.0,BSD2
uglify-js,2.8.29,BSD2
uglify-js,3.4.6,BSD2
underscore,1.8.3,MIT
urllib3,1.24.2,MIT
v8-coverage,1.0.7,ISC
vinyl-buffer,1.0.1,MIT
vinyl-source-stream,2.0.0,MIT
virtualenv,20.0.18,MIT
vite,2.3.8,MIT
watchify,3.9.0,MIT
watchify,3.11.0,MIT
webpack,3.10.0,MIT
